seller_id,seller_state,orders,merchandise_gmv_brl,freight_value_brl,average_review,late_delivery_rate,low_review_rate,low_review_orders,freight_burden,scale_flag,delay_risk_flag,review_risk_flag,priority_flag
1dfe5347016252a7884b694d4f10f5c4,SP,20,1632.5,420.04,3.4,0.25,0.3,6,0.20464400206573322,False,True,True,False
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,SP,20,21940.8,1754.4,3.65,0.2,0.3,6,0.07404031196191634,False,True,True,False
4c8b8048e33af2bf94f2eb547746a916,SP,19,1882.45,385.43,3.3684210526315788,0.10526315789473684,0.3157894736842105,6,0.16995167292802088,False,True,True,False
49067458c68f7701fd334ce326accbe0,MG,17,1047.6499999999999,573.85,3.3529411764705883,0.0,0.35294117647058826,6,0.35390070921985817,False,False,True,False
099095b050cfe8eb1ddff5317587e96e,SP,16,5003.84,702.09,3.375,0.1875,0.375,6,0.1230456735361282,False,True,True,False
86bb7c4b535e49a541baf3266b1c95b1,SP,16,8162.4,324.82,3.2,0.1875,0.375,6,0.03827166021382738,False,True,True,False
55bb6fe5bebe5012e2d7d9928e1128ff,SP,15,1816.55,576.47,3.466666666666667,0.13333333333333333,0.4,6,0.2408964404810658,False,True,True,False
02d35243ea2e497335cd0f076b45675d,RN,14,5794.0,605.95,2.642857142857143,0.2857142857142857,0.42857142857142855,6,0.09468042719083744,False,True,True,False
973f21788dfab357250f69a8dcb7ddee,MG,9,819.0,490.03,2.111111111111111,0.5555555555555556,0.6666666666666666,6,0.37434588970459043,False,True,True,False
6cd68b3ed6d59aaa9fece558ad360c0a,MG,149,11188.57,2529.89,4.456375838926174,0.013422818791946308,0.03355704697986577,5,0.18441501451329084,True,False,False,False
12b9676b00f60f3b700e83af21824c0e,RS,133,26376.0,3525.67,4.553030303030303,0.007518796992481203,0.03759398496240601,5,0.11790879907376411,True,False,False,False
080102cd0a76b09e0dcf55fcacc60e05,MG,122,5612.65,2160.83,4.516393442622951,0.040983606557377046,0.040983606557377046,5,0.2779746008222829,True,False,False,False
eeb6de78f79159600292e314a77cbd18,SC,82,43510.84,2996.05,4.439024390243903,0.036585365853658534,0.06097560975609756,5,0.0644216373100846,False,False,False,False
d12c926d74ceff0a90a21184466ce161,SP,76,3850.2799999999997,1225.4,4.381578947368421,0.013157894736842105,0.06578947368421052,5,0.24142577940295684,False,False,False,False
08633c14ef2db992c11f840f04fad4cd,SP,74,7644.3,1424.52,4.364864864864865,0.05405405405405406,0.06756756756756757,5,0.1570788702389065,False,False,False,False
81a1104df0f08b59c68aa5b03cfe398e,PR,72,9320.98,1794.45,4.314285714285714,0.041666666666666664,0.06944444444444445,5,0.1614377491469066,False,False,False,False
b6d44737c043328708f6749c2dbe50bd,SP,61,5284.6,1549.41,4.524590163934426,0.06557377049180328,0.08196721311475409,5,0.22672047597237932,False,False,False,False
d57e18d5f73c7ccb7f7339b61166898d,SP,61,3187.7,923.49,4.426229508196721,0.0,0.08196721311475409,5,0.22462839226598627,False,False,False,False
c6bda72e4dbf5c5866b13cb1810c6d03,SP,59,14059.380000000001,1136.74,4.389830508474576,0.03389830508474576,0.0847457627118644,5,0.07480462117961689,False,False,False,False
1eade46fba20122dc4aefb379f8c636b,SP,58,3635.37,1038.34,4.431034482758621,0.1206896551724138,0.08620689655172414,5,0.22216611642570888,False,True,False,False
